subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
physics,11,1,Systems of Units and SI Units,b,apparatus,illustration,gap_concept_map,high,"Figure 1.1 drawn: central '7 SI Base Units' box with seven arrows fanning out to derived-unit boxes, plus an unconnected supplementary box. Radial hub-and-spoke, not chain/ring.",0.6213
physics,11,1,"Measurement of Length, Mass and Time",b,apparatus,illustration,none_symbolic,med,"No figure in any chunk; parallax/echo/monolayer taught as formulas (D=b/theta, d=vt/2, t=V/A) plus order-of-magnitude bullets. Four competing procedures, no single picture.",0.6001
physics,11,1,Measuring Instruments: Vernier Callipers and Screw Gauge,b,circuit,widget,apparatus,high,"Figure 1.5 drawn twice in the chunks: three side-by-side vernier zero-position sketches with mm main scale and vernier scale, '+0.04 cm -> subtract'. Instrument picture.",0.6592
physics,11,1,Errors in Measurement,b,apparatus,illustration,none_symbolic,med,"Definitions of error types, mean/absolute/relative error and worked numbers; archer-target analogy is words only. The figure chunks retrieved (1.5, 1.3) are sibling concepts'.",0.5756
physics,11,1,Propagation of Errors,b,apparatus,illustration,none_symbolic,low,"PASSES DISAGREE (gap_rule_card vs none_symbolic); demoted. Top chunk is Figure 1.3, but it is a two-column formula card ('Absolute errors ADD' / 'Relative (%) errors ADD') with a caption strip, i.e. t",0.4919
physics,11,1,Significant Figures,b,none_symbolic,none,none_symbolic,low,"PASSES DISAGREE (gap_rule_card vs none_symbolic); demoted. Figure 1.4 is a two-column rules card ('x or / -> SIGNIFICANT FIGURES' / '+ or - -> DECIMAL PLACES'), a text card. Rest is counting rules and",0.6330
physics,11,1,Dimensions and Dimensional Formulae,b,none_symbolic,none,none_symbolic,high,"No figure. The one table is Quantity/Relation/Dimensional Formula/SI Unit with ~12 rows of symbolic entries, not measured values with a trend, so data_table_trend does not apply.",0.6756
physics,11,1,Dimensional Analysis and Its Applications,b,none_symbolic,none,none_symbolic,high,"No figure in any chunk. Procedures 1-3 (check / derive / convert), dimensional derivations (v = C sqrt(T/mu)), addenda and MCQs - formulas and text only.",0.5705
physics,11,2,Kinematic Quantities,b,motion_path,widget,none_symbolic,low,"PASSES DISAGREE (none_symbolic vs gap_secant_tangent_slope); demoted. Chunks are the quantity/definition/dimension table, harmonic-vs-arithmetic mean formulas and worked trips. Fig 2.1 appears but its",0.5759
physics,11,2,Average and Instantaneous Quantities,b,none_symbolic,none,gap_motion_graph,high,Fig 2.1: x-t curve with secant chord AB labelled 'slope = average velocity' and tangent at A 'slope = instantaneous velocity'. xy_plot cannot overlay chord/tangent annotations.,0.5801
physics,11,2,Graphical Analysis,b,xy_plot,widget,gap_motion_graph,high,"Figs 2.2 (2x3 panel chart), 2.3 (trapezium v-t, regions labelled triangle/rectangle), 2.4 (signed +/- areas), 2.5 (stacked a-t/v-t): all piecewise or multi-panel; xy_plot cannot.",0.4403
physics,11,2,Equations of Motion,b,motion_path,widget,none_symbolic,low,"PASSES DISAGREE (gap_motion_graph vs none_symbolic); demoted. Chunks are the three derivations, s_nth, Galileo odd numbers, cheat sheet. Figures retrieved (2.2, 2.4, 2.5) are Graphical Analysis piecew",0.5903
physics,11,2,Free Fall,b,motion_path,widget,none_symbolic,high,"No figure in any chunk; H=u^2/2g, t=2u/g, Vieta root-product, delayed drops, meet condition u^2>=gH/2, all algebra. projectile_motion explicitly excludes vertical throw.",0.3936
physics,11,2,Relative Velocity,b,motion_path,widget,none_symbolic,high,"Sub-topic 04 has no figure of its own; chunks are v_AB=v_A-v_B, relative-form equations and train/car numericals. Figs 2.1 and 2.6 in the chunk set belong to sub-topics 01 and 03.",0.5719
physics,11,2,Motion with Variable Acceleration,b,xy_plot,widget,gap_decision_tree,med,"Chunk 3 shows a fragment of a decision chart: '""a = f(x)"", leads to a box ""use v dv = f(x) dx""' with a side note. A 3-way branch by t/v/x, not process_flow's chain or ring.",0.6045
physics,11,3,Vector Algebra and Resolution,b,geometry_3d,widget,gap_vector_resolution,high,"Fig 3.1 rendered: O-P-Q parallelogram/triangle construction, R=OQ, PS=B cos(theta), QS=B sin(theta), angle alpha. vector_resolution is a server template, not a widget.",0.6132
physics,11,3,Vector Products (Dot and Cross),b,geometry_3d,widget,gap_vector_product_diagram,high,"Fig 3.2 rendered: left, projection 'B cos(theta)' onto A; right, A,B in-plane with C=AxB out of plane and right-hand curl. No widget draws 3-D vector geometry.",0.7352
